ID_Ticket,Fecha_Hora,RUT_Cliente,Mesa,Producto_Categoria,Producto_Detail,Cantidad,Precio_Unitario_IVA,Metodo_Pago
TX-20000,01/01/2025 09:06,98765432-1,Mesa 3,Bebestibles,JUGO ARANDANO,3.0,3100,Débito
TX-20000,01/01/2025 09:09,98765432-1,Mesa 3,Cafe,TE NEGRO,,2100,Débito
TX-20000,2025-01-01 09:12:07,98765432-1,Mesa 3,Repostería,muffin vainilla,2.0,2100,Débito
TX-20001,2025-01-01 09:20:48,Consumidor Final,Mesa 6,cafes,espresso doble,2.0,$ 2.490,Crédito
TX-20001,2025-01-01 09:22:47,Consumidor Final,Mesa 6,Bebestible,Jugo Naranja Natural,1.0,2990,Crédito
TX-20001,2025-01-01 09:27:58,Consumidor Final,Mesa 6,sandwicheria,CROISSANT CAPRESE,1.0,4790,Crédito
TX-20002,01/01/2025 09:29,Consumidor Final,Mesa 10,Cafe,TE VERDE,1.0,2100,Débito
TX-20002,2025-01-01 09:37:53,Consumidor Final,Mesa 10,sandwicheria,Sandwich Caprese Ciabatta,1.0,4990,Débito
TX-20002,01/01/2025 09:43,Consumidor Final,Mesa 10,CAFÉ,TE BLANCO,2.0,$ 2.300,Débito
TX-20003,2025-01-01 09:49:48,Consumidor Final,Mesa 2,Cafés,te negro,2.0,2100,Débito
TX-20003,2025-01-01 09:54:46,Consumidor Final,Mesa 2,Cafe,espresso doble,1.0,2490,Débito
TX-20003,01/01/2025 09:57,Consumidor Final,Mesa 2,bebestibles,jugo pina,1.0,2990,Débito
TX-20004,2025-01-01 10:00:09,Consumidor Final,Mesa 5,Cafés,cafe americano,1.0,2200,Crédito
TX-20004,2025-01-01 10:00:53,Consumidor Final,Mesa 5,Sandwichería,Sándwich Mechada Queso,1.0,5490,Crédito
TX-20004,45658.4199,Consumidor Final,Mesa 5,Sandwichería,Croissant J/Q,1.0,4500,Crédito
TX-20005,45658.4251,Consumidor Final,Mesa 7,Reposteria ,Muffin de Arándanos,2.0,2100,Efectivo
TX-20005,01/01/2025 10:25,Consumidor Final,Mesa 7,cafes,Cafe Late,,3200,Efectivo
TX-20005,2025-01-01 12:19:39,Consumidor Final,Mesa 7,Bebestible,Jugo Arándanos,3.0,3100,Efectivo
TX-20006,2025-01-01 12:47:02,Consumidor Final,Mesa 6,Cafés,te verde,3.0,2100,Débito
TX-20006,2025-01-01 12:59:04,Consumidor Final,Mesa 6,Cafe,Capuccino,1.0,3100,Débito
TX-20006,01/01/2025 15:14,Consumidor Final,Mesa 6,sandwicheria,Sandwich Caprese Ciabatta,2.0,4990,Débito
TX-20007,01/01/2025 15:25,Consumidor Final,Mesa 7,Cafés,TE BLANCO,1.0,2300,Débito
TX-20007,45658.651,Consumidor Final,Mesa 7,cafes,Americano,1.0,2200,Débito
TX-20007,01/01/2025 15:50,Consumidor Final,Mesa 7,SANDWICH,Aliado,1.0,$ 3.800,Débito
TX-20008,01/01/2025 16:05,Consumidor Final,Mesa 5,bebestibles,matcha latte,1.0,3600,Crédito
TX-20008,01/01/2025 16:45,Consumidor Final,Mesa 5,BEBIDAS,JUGO ARANDANO,1.0,3100,Crédito
TX-20008,01/01/2025 18:14,Consumidor Final,Mesa 5,Bebestible,Jugo Arándanos,3.0,3100,Crédito
TX-20009,01/01/2025 18:21,Consumidor Final,Mesa 6,BEBIDAS,Jugo Naranja Natural,1.0,2990,Crédito
TX-20009,01/01/2025 18:26,Consumidor Final,Mesa 6,Cafe,Flatwhite,1.0,3000,Crédito
TX-20009,2025-01-01 18:35:21,Consumidor Final,Mesa 6,PASTELERIA,waffle manjar,1.0,3200,Crédito
TX-20010,2025-01-01 18:51:45,Consumidor Final,Para Llevar,CAFÉ,Té Blanco,2.0,$ 2.300,Débito
TX-20010,45658.7885,Consumidor Final,Para Llevar,Reposteria ,Medialuna Dulce,1.0,1400,Débito
TX-20010,2025-01-01 19:00:28,Consumidor Final,Para Llevar,CAFÉ,Té Blanco,2.0,2300,Débito
TX-20011,2025-01-01 19:16:02,Consumidor Final,Mesa 6,Sandwichería,sandwich caprese,1.0,4990,Débito
TX-20011,2025-01-01 19:36:28,Consumidor Final,Mesa 6,cafes,cafe latte ,1.0,3200,Débito
TX-20011,2025-01-01 19:38:15,Consumidor Final,Mesa 6,Cafe,TE NEGRO,1.0,$ 2.100,Débito
TX-20012,01/01/2025 19:50,Consumidor Final,Mesa 10,sandwicheria,sandwich caprese,3.0,4990,Crédito
TX-20012,01/01/2025 19:52,Consumidor Final,Mesa 10,Repostería,medialuna manjar,1.0,1600,Crédito
TX-20012,2025-01-01 19:55:41,Consumidor Final,Mesa 10,Bebestible,JUGO NARANJA,,2990,Crédito
TX-20013,45659.3509,Consumidor Final,Mesa 6,Sándwiches,Croissant J/Q,1.0,4500,Crédito
TX-20013,02/01/2025 09:22,Consumidor Final,Mesa 6,Reposteria ,Muffin de Vainilla Natural,1.0,2100,Crédito
